-------------------------------------------------------------------------------
Model constraints: 126640, variables: integer: 0, interval: 3030, sequence: 30
Solve status: Feasible
Search status: SearchCompleted, stop cause: SearchHasNotBeenStopped
Solve time: 40.87 sec
-------------------------------------------------------------------------------

Trip_18 | Duty_24: absent
Trip_18 | Duty_25: absent
Trip_18 | Duty_26: absent
Trip_18 | Duty_27: absent
Trip_18 | Duty_28: absent
Trip_18 | Duty_29: absent
Trip_19 | Duty_00: absent
Trip_19 | Duty_01: absent
Trip_19 | Duty_02: absent
Trip_19 | Duty_03: absent
Trip_19 | Duty_04: absent
Trip_19 | Duty_05: absent
Trip_19 | Duty_06: absent
Trip_19 | Duty_07: absent
Trip_19 | Duty_08: absent
Trip_19 | Duty_09: absent
Trip_19 | Duty_10: absent
Trip_19 | Duty_11: absent
Trip_19 | Duty_12: absent
Trip_19 | Duty_13: absent
Trip_19 | Duty_14: absent
Trip_19 | Duty_15: absent
Trip_19 | Duty_16: absent
Trip_19 | Duty_17: absent
Trip_19 | Duty_18: absent
Trip_19 | Duty_19: absent
Trip_19 | Duty_20: absent
Trip_19 | Duty_21: (start=480, end=534, size=54, length=54)
Trip_19 | Duty_22: absent
Trip_19 | Duty_23: absent
Trip_19 | Duty_24: absent
Trip_19 | Duty_25: absent
Trip_19 | Duty_26: absent
Trip_19 | Duty_27: absent
Trip_19 | Duty_28: absent
Trip_19 | Duty_29: absent
Trip_20 | Duty_00: absent
Trip_20 | Duty_01: absent
Trip_20 | Duty_02: absent
Trip_20 | Duty_03: absent
Trip_20 | Duty_04: absent
Trip_20 | Duty_05: absent
Trip_20 | Duty_06: absent
Trip_20 | Duty_07: absent
Trip_20 | Duty_08: absent
Trip_20 | Duty_09: absent
Trip_20 | Duty_10: absent
Trip_20 | Duty_11: absent
Trip_20 | Duty_12: absent
Trip_20 | Duty_13: absent
Trip_20 | Duty_14: absent
Trip_20 | Duty_15: absent
Trip_20 | Duty_16: absent
Trip_20 | Duty_17: (start=490, end=544, size=54, length=54)
Trip_20 | Duty_18: absent
Trip_20 | Duty_19: absent
Trip_20 | Duty_20: absent
Trip_20 | Duty_21: absent
Trip_20 | Duty_22: absent
Trip_20 | Duty_23: absent
Trip_20 | Duty_24: absent
Trip_20 | Duty_25: absent
Trip_20 | Duty_26: absent
Trip_20 | Duty_27: absent
Trip_20 | Duty_28: absent
Trip_20 | Duty_29: absent
Trip_21 | Duty_00: absent
Trip_21 | Duty_01: absent
Trip_21 | Duty_02: absent
Trip_21 | Duty_03: absent
