-------------------------------------------------------------------------------
Model constraints: 78, variables: integer: 0, interval: 590, sequence: 10
Solve status: Optimal
Search status: SearchCompleted, stop cause: SearchHasNotBeenStopped
Solve time: 55.59 sec
-------------------------------------------------------------------------------
Objective values: (7,), bounds: (7,), gaps: (0,)
Duty_0: (start=710, end=1284, size=574, length=574)
Duty_1: absent
Trip_34 | Duty_00: absent
Trip_34 | Duty_01: absent
Trip_34 | Duty_02: absent
Trip_34 | Duty_03: (start=895, end=943, size=48, length=48)
Trip_34 | Duty_04: absent
Trip_34 | Duty_05: absent
Trip_34 | Duty_06: absent
Trip_34 | Duty_07: absent
Trip_34 | Duty_08: absent
Trip_34 | Duty_09: absent
Trip_35 | Duty_00: absent
Trip_35 | Duty_01: absent
Trip_35 | Duty_02: absent
Trip_35 | Duty_03: absent
Trip_35 | Duty_04: absent
Trip_35 | Duty_05: (start=910, end=958, size=48, length=48)
Trip_35 | Duty_06: absent
Trip_35 | Duty_07: absent
Trip_35 | Duty_08: absent
Trip_35 | Duty_09: absent
Trip_36 | Duty_00: (start=925, end=973, size=48, length=48)
Trip_36 | Duty_01: absent
Trip_36 | Duty_02: absent
Trip_36 | Duty_03: absent
Trip_36 | Duty_04: absent
Trip_36 | Duty_05: absent
Trip_36 | Duty_06: absent
Trip_36 | Duty_07: absent
Trip_36 | Duty_08: absent
Trip_36 | Duty_09: absent
Trip_37 | Duty_00: absent
Trip_37 | Duty_01: absent
Trip_37 | Duty_02: absent
Trip_37 | Duty_03: absent
Trip_37 | Duty_04: absent
Trip_37 | Duty_05: absent
Trip_37 | Duty_06: (start=945, end=993, size=48, length=48)
Trip_37 | Duty_07: absent
Trip_37 | Duty_08: absent
Trip_37 | Duty_09: absent
Trip_38 | Duty_00: absent
Trip_38 | Duty_01: absent
Trip_38 | Duty_02: absent
Trip_38 | Duty_03: absent
Trip_38 | Duty_04: absent
Trip_38 | Duty_05: (start=960, end=1012, size=52, length=52)
Trip_38 | Duty_06: absent
Trip_38 | Duty_07: absent
Trip_38 | Duty_08: absent
Trip_38 | Duty_09: absent
Trip_39 | Duty_00: (start=975, end=1027, size=52, length=52)
Trip_39 | Duty_01: absent
Trip_39 | Duty_02: absent
Trip_39 | Duty_03: absent
Trip_39 | Duty_04: absent
Trip_39 | Duty_05: absent
Trip_39 | Duty_06: absent
Trip_39 | Duty_07: absent
Trip_39 | Duty_08: absent
Trip_39 | Duty_09: absent
Trip_40 | Duty_00: absent
Trip_40 | Duty_01: absent
Trip_40 | Duty_02: absent
Trip_40 | Duty_03: (start=995, end=1047, size=52, length=52)
Trip_40 | Duty_04: absent
Trip_40 | Duty_05: absent
Trip_40 | Duty_06: absent
Trip_40 | Duty_07: absent
Trip_40 | Duty_08: absent
Trip_40 | Duty_09: absent
Trip_41 | Duty_00: absent
Trip_41 | Duty_01: absent
Trip_41 | Duty_02: absent
Trip_41 | Duty_03: absent
Trip_41 | Duty_04: absent
Trip_41 | Duty_05: absent
Trip_41 | Duty_06: (start=1010, end=1062, size=52, length=52)
Trip_41 | Duty_07: absent
Trip_41 | Duty_08: absent
Trip_41 | Duty_09: absent
Trip_42 | Duty_00: absent
Trip_42 | Duty_01: absent
Trip_42 | Duty_02: absent
Trip_42 | Duty_03: absent
Trip_42 | Duty_04: absent
Trip_42 | Duty_05: (start=1025, end=1077, size=52, length=52)
Trip_42 | Duty_06: absent
Trip_42 | Duty_07: absent
Trip_42 | Duty_08: absent
Trip_42 | Duty_09: absent
Trip_43 | Duty_00: (start=1045, end=1097, size=52, length=52)
Trip_43 | Duty_01: absent
Trip_43 | Duty_02: absent
Trip_43 | Duty_03: absent
Trip_43 | Duty_04: absent
Trip_43 | Duty_05: absent
Trip_43 | Duty_06: absent
Trip_43 | Duty_07: absent
Trip_43 | Duty_08: absent
Trip_43 | Duty_09: absent
Trip_44 | Duty_00: absent
Trip_44 | Duty_01: absent
Trip_44 | Duty_02: absent
Trip_44 | Duty_03: (start=1060, end=1112, size=52, length=52)
Trip_44 | Duty_04: absent
Trip_44 | Duty_05: absent
Trip_44 | Duty_06: absent
Trip_44 | Duty_07: absent
Trip_44 | Duty_08: absent
Trip_44 | Duty_09: absent
Trip_45 | Duty_00: absent
Trip_45 | Duty_01: absent
Trip_45 | Duty_02: absent
Trip_45 | Duty_03: absent
Trip_45 | Duty_04: absent
Trip_45 | Duty_05: (start=1080, end=1124, size=44, length=44)
Trip_45 | Duty_06: absent
Trip_45 | Duty_07: absent
Trip_45 | Duty_08: absent
Trip_45 | Duty_09: absent
Trip_46 | Duty_00: (start=1105, end=1149, size=44, length=44)
Trip_46 | Duty_01: absent
Trip_46 | Duty_02: absent
Trip_46 | Duty_03: absent
Trip_46 | Duty_04: absent
Trip_46 | Duty_05: absent
Trip_46 | Duty_06: absent
Trip_46 | Duty_07: absent
Trip_46 | Duty_08: absent
Trip_46 | Duty_09: absent
Trip_47 | Duty_00: absent
Trip_47 | Duty_01: absent
Trip_47 | Duty_02: absent
Trip_47 | Duty_03: (start=1130, end=1174, size=44, length=44)
Trip_47 | Duty_04: absent
Trip_47 | Duty_05: absent
Trip_47 | Duty_06: absent
Trip_47 | Duty_07: absent
Trip_47 | Duty_08: absent
Trip_47 | Duty_09: absent
Trip_48 | Duty_00: (start=1150, end=1194, size=44, length=44)
Trip_48 | Duty_01: absent
Trip_48 | Duty_02: absent
Trip_48 | Duty_03: absent
Trip_48 | Duty_04: absent
Trip_48 | Duty_05: absent
Trip_48 | Duty_06: absent
Trip_48 | Duty_07: absent
Trip_48 | Duty_08: absent
Trip_48 | Duty_09: absent
Trip_49 | Duty_00: absent
Trip_49 | Duty_01: absent
Trip_49 | Duty_02: absent
Trip_49 | Duty_03: absent
Trip_49 | Duty_04: absent
Trip_49 | Duty_05: (start=1170, end=1214, size=44, length=44)
Trip_49 | Duty_06: absent
Trip_49 | Duty_07: absent
Trip_49 | Duty_08: absent
Trip_49 | Duty_09: absent
Trip_50 | Duty_00: absent
Trip_50 | Duty_01: absent
